"eid","oid","escid","subid","facid","name","abbreviation","parent","created","register","modified","updated","state","header","is_faculty"
"20154605046","1","1EC","1901","1","Economía"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","1CO","1901","1","Contabilidad"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2DE","1901","2","Derecho"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2EDFM","1901","2","Educación a Distancia Fisica y Matematica"," ","2ED","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2EI","1901","2","Educación Inicial"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ES","1901","2","Educación Secundaria"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESBQ","1901","2","Biolog¡a Y Qu¡mica"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESCL","1901","2","Comunicación y Literatura"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESCO","1901","2","Computación E Informática Educativa"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESCY","1904","2","Computación E Informatica Educativa-yanahuanc"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESFM","1901","2","Matemática Y F¡sica"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESFS","1901","2","Filosofia Y Ciencias Sociales"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESHG","1901","2","Historia Y Geograf¡a"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESHT","1901","2","Historia, Ciencias Sociales y Turismo"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESID","1901","2","Idiomas"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESLF","1901","2","Lenguas Extranjeras: Inglés - Francés"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESLL","1901","2","Lengua Y Literatura"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESSP","1901","2","Ciencias Sociales Filosofía y Psicología Educ"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESTA","1901","2","Ciencia Tecnología y Ambiente"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESTT","1901","2","Tecnología Informática y Telecomunicaciones"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2ESTY","1904","2","Tecnología Informática y Telecom-Yanahuanca"," ","2ES","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2OP","1903","2","Educación Primaria - Oxapampa"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PD","1901","2","Profesion.docente Modalidad Distancia - Pasco"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDBQ","1901","2","Prof. Biolog¡a Y Qu¡mica"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDCO","1901","2","Computación E Informática"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDEI","1901","2","Prof. Educaci¢n Inicial"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDEP","1901","2","Prof. Educaci¢n Primaria"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDFM","1901","2","Prof. Matem tica - F¡sica"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDFS","1901","2","Prof. Filosof¡a Y Ciencias Sociales"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDHG","1901","2","Prof. Historia Y Geograf¡a"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDIN","1901","2","Inglés - Quechua"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDIP","1901","2","Inicial Y Primaria"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDLL","1901","2","Prof. Lengua Y Literatura"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDMA","1901","2","Música Y Arte"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDRC","1901","2","Religión Y Ciencias Sociales"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDVI","1901","2","Prof. Educación Inicial  - Villa Rica"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PDVP","1901","2","Prof. Educacion Primaria - Villa Rica"," ","2PD","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PTCO","1905","2","Prof. Computacion E Informatica - Tarma"," ","2PT","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PX","1903","2","Profesion.docente Modalidad Distanc-oxapampa"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2CC","1901","2","Ciencias De La Comunicación"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PXBQ","1903","2","Prof. Biolog¡a Y Qu¡mica  - Oxapampa"," ","2PX","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","2PXEI","1903","2","Prof. Educación Inicial   - Oxapampa"," ","2PX","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
